,Question,Q_id,Company,Model,Answer,Rank,Score,Doc_index
15,Has the company formalized a strategy to reduce its greenhouse gas emissions?,4,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Since launching our first environmental sustainability strategy in 2008, we have made considerable progress around the energy, greenhouse gas emissions, and water goals we announced in 2010, and our colleagues around the world have amplified our efforts.",1,0.0654,17
16,Has the company formalized a strategy to reduce its greenhouse gas emissions?,4,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Understanding and reducing our energy use and greenhouse gas (GHG) emissions is more important than ever as our operations continue to grow and global travel – which produces significant greenhouse gas emissions – continues to increase.,2,0.0146,325
17,Has the company formalized a strategy to reduce its greenhouse gas emissions?,4,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Greenhouse gas emissions were calculated using the Greenhouse Gas Protocol Corporate Accounting Standard, and this process and data were verified by an independent external auditing firm in 2009.",3,0.0049,445
18,Has the company formalized a strategy to reduce its greenhouse gas emissions?,4,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"On the environmental stewardship front, we took action to review our strategy, challenge our way of thinking, and assess the areas where we can have the greatest impact.",4,0.0043,16
19,Has the company formalized a strategy to reduce its greenhouse gas emissions?,4,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"And, it reduces our environmental footprint, including energy use, greenhouse gas emissions, water consumption and waste, as well as reducing potential biodiversity and habitat impacts associated with food production.",5,0.0026,378
20,Has the company covered its assets though insurance policies to mitigate its exposure to climate related commitments?,5,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"While our Company is growing rapidly, global environmental challenges like climate change continue to intensify, and our stakeholders’ expectations continue to increase.",1,0.312,294
21,Has the company covered its assets though insurance policies to mitigate its exposure to climate related commitments?,5,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We believe the Company's insurance policies, as well as those maintained by third-party owners, including hospitality ventures, are adequate for foreseeable losses and on terms and conditions that are reasonable and customary with solvent insurance carriers.",2,0.0826,764
22,Has the company covered its assets though insurance policies to mitigate its exposure to climate related commitments?,5,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"As a founding participant in the study, our support for this organization aligns with our own climate change strategy by providing us deeper insight into our impacts and enabling us to elevate our transparency around climate change to external stakeholders.",3,0.0065,436
23,Has the company covered its assets though insurance policies to mitigate its exposure to climate related commitments?,5,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In addition, there are other risks that may fall outside of the general coverage limits of our policies, may be uninsurable, or with respect to which the cost of insurance is too expensive to justify.",4,0.0024,1069
24,Has the company covered its assets though insurance policies to mitigate its exposure to climate related commitments?,5,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Managing our own operations thoughtfully and efficiently is the first step in our commitment to environmental stewardship.,5,0.0024,319
25,Has the company implemented measures to ensure worker's rights?,6,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"As a company built on caring for people, we place a high value on safeguarding the basic and fundamental rights of all people.",1,0.1266,169
26,Has the company implemented measures to ensure worker's rights?,6,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"To ensure that we are always communicating truthfully, accurately, and consistently about the Company, we only authorize certain individuals within the .",2,0.0028,2113
27,Has the company implemented measures to ensure worker's rights?,6,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"G4-HR2 Total hours of employee training on human rights policies or procedures concerning aspects of human rights that are relevant to operations, including the percentage of employees trained.",3,0.0018,469
28,Has the company implemented measures to ensure worker's rights?,6,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Caring for one another and for our Company means having the courage to speak up if you have a concern about ethical misconduct.,4,0.0013,2092
29,Has the company implemented measures to ensure worker's rights?,6,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Their commitment reinforces for me the responsibility that we have as a company to also care for our people, the communities where we operate and the natural environment that is so vital to our collective well-being.",5,0.0011,1
30,Has the company implemented measures to ensure MIGRANT worker's rights and to prevent CHILD and forced labour?,7,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"As a company built on caring for people, we place a high value on safeguarding the basic and fundamental rights of all people.",1,0.0133,169
31,Has the company implemented measures to ensure MIGRANT worker's rights and to prevent CHILD and forced labour?,7,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Their commitment reinforces for me the responsibility that we have as a company to also care for our people, the communities where we operate and the natural environment that is so vital to our collective well-being.",2,0.0022,1
32,Has the company implemented measures to ensure MIGRANT worker's rights and to prevent CHILD and forced labour?,7,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Also included below is biographical information relating to each of the Company's executive officers.,3,0.0007,1203
33,Has the company implemented measures to ensure MIGRANT worker's rights and to prevent CHILD and forced labour?,7,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"To ensure that we are always communicating truthfully, accurately, and consistently about the Company, we only authorize certain individuals within the .",4,0.0006,2113
34,Has the company implemented measures to ensure MIGRANT worker's rights and to prevent CHILD and forced labour?,7,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,We will also point to other Company resources and compliance policies you can consult for more guidance.,5,0.0006,2079
35,Does the company monitor performance indicators to assess its progress compared to its climate related commitments or targets?,8,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Hyatt will measure global progress and performance with the support of WWF’s analysis and recommendations.,1,0.6026,386
36,Does the company monitor performance indicators to assess its progress compared to its climate related commitments or targets?,8,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"While our Company is growing rapidly, global environmental challenges like climate change continue to intensify, and our stakeholders’ expectations continue to increase.",2,0.1136,294
37,Does the company monitor performance indicators to assess its progress compared to its climate related commitments or targets?,8,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"For example, in 2013 we introduced environmental metrics into our quarterly business reviews to facilitate performance tracking and improvements.",3,0.1072,50
38,Does the company monitor performance indicators to assess its progress compared to its climate related commitments or targets?,8,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,We undertook a robust analysis to develop a strong suite of environmental performance goals and implementation strategies that would energize our efforts through the year 2020 and ensure that we focus on all of our most important areas of impact.,4,0.043,299
39,Does the company monitor performance indicators to assess its progress compared to its climate related commitments or targets?,8,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"As a result, it may be difficult to use Adjusted EBITDA or similarly named non-GAAP measures that other companies may use to compare the performance of those companies to our performance.",5,0.0152,1309
40,Has the company formalized a commitment policy or program to ensure acceptable working conditions to workers? ,9,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Their commitment reinforces for me the responsibility that we have as a company to also care for our people, the communities where we operate and the natural environment that is so vital to our collective well-being.",1,0.6635,1
41,Has the company formalized a commitment policy or program to ensure acceptable working conditions to workers? ,9,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,We will also point to other Company resources and compliance policies you can consult for more guidance.,2,0.0042,2079
42,Has the company formalized a commitment policy or program to ensure acceptable working conditions to workers? ,9,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Our commitment to corporate responsibility is based on more than just a desire to do the right thing; it is also central to our success as a business.,3,0.0039,35
43,Has the company formalized a commitment policy or program to ensure acceptable working conditions to workers? ,9,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"To ensure that we are always communicating truthfully, accurately, and consistently about the Company, we only authorize certain individuals within the .",4,0.0031,2113
44,Has the company formalized a commitment policy or program to ensure acceptable working conditions to workers? ,9,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Because we operate globally, we might have to comply with different policies and rules depending on where we work.",5,0.0024,2083
45,Has the company assessed which facilities are the most vulnerable to increased acute and chronic weather events?,10,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,We will also point to other Company resources and compliance policies you can consult for more guidance.,1,0.0009,2079
46,Has the company assessed which facilities are the most vulnerable to increased acute and chronic weather events?,10,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"As a result, it may be difficult to use Adjusted EBITDA or similarly named non-GAAP measures that other companies may use to compare the performance of those companies to our performance.",2,0.0006,1309
47,Has the company assessed which facilities are the most vulnerable to increased acute and chronic weather events?,10,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"In the event that the Company needs to investigate concerns of misconduct, cooperation is critical to a thorough and efficient investigation.",3,0.0005,2089
48,Has the company assessed which facilities are the most vulnerable to increased acute and chronic weather events?,10,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Also included below is biographical information relating to each of the Company's executive officers.,4,0.0004,1203
49,Has the company assessed which facilities are the most vulnerable to increased acute and chronic weather events?,10,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"Cyber risk insurance generally covers all Company-controlled systems and data in properties that the Company owns, outright or through hospitality ventures, manages, franchises and licenses.",5,0.0004,763
50,Has the company deployed a whistle-blowing system workers to express grievance related to their working conditions?,11,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"As a result, future incidents could have a material impact on our business and adversely affect our financial condition and results of operations.",1,0.0007,916
51,Has the company deployed a whistle-blowing system workers to express grievance related to their working conditions?,11,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,Our workers compensation insurance provides coverage for employee injuries in the course and scope of employment.,2,0.0005,758
52,Has the company deployed a whistle-blowing system workers to express grievance related to their working conditions?,11,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"We are also subject to laws governing our relationships with employees, including minimum wage requirements, overtime, working conditions, hiring and firing, non-discrimination for disabilities and other individual characteristics, work permits and benefit offerings.",3,0.0005,735
53,Has the company deployed a whistle-blowing system workers to express grievance related to their working conditions?,11,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"However, changes in the economic and operating conditions impacting the assumptions and estimates could result in an impairment charge which could be material to our earnings.",4,0.0004,1560
54,Has the company deployed a whistle-blowing system workers to express grievance related to their working conditions?,11,Hyatt,Tf_Idf_Cluster_Bert_Finetuned_MsMarco,"As a public company, we incur significant costs which may adversely affect our operating results and financial condition.",5,0.0004,1111
